week_48,label,sci,ebird_score,in_ebird
2,Cisticola juncidis_Zitting Cisticola,Cisticola juncidis,0.3422,True
3,Saxicola stejnegeri_Amur Stonechat,Saxicola stejnegeri,0.1039,True
3,Muscicapa dauurica_Asian Brown Flycatcher,Muscicapa dauurica,0.0387,True
3,Delichon dasypus_Asian House Martin,Delichon dasypus,0.2487,True
3,Parus cinereus_Asian Tit,Parus cinereus,0.0,True
3,Cyanopica cyanus_Azure-winged Magpie,Cyanopica cyanus,0.3741,True
3,Sibirionetta formosa_Baikal Teal,Sibirionetta formosa,0.0,False
3,Limosa lapponica_Bar-tailed Godwit,Limosa lapponica,0.3261,True
3,Hirundo rustica_Barn Swallow,Hirundo rustica,0.1224,True
3,Nycticorax nycticorax_Black-crowned Night Heron,Nycticorax nycticorax,0.2803,True
3,Chroicocephalus ridibundus_Black-headed Gull,Chroicocephalus ridibundus,0.4629,True
3,Rissa tridactyla_Black-legged Kittiwake,Rissa tridactyla,0.3903,True
3,Podiceps nigricollis_Black-necked Grebe,Podiceps nigricollis,0.45,True
3,Limosa limosa_Black-tailed Godwit,Limosa limosa,0.2596,True
3,Larus crassirostris_Black-tailed Gull,Larus crassirostris,0.4603,True
3,Himantopus himantopus_Black-winged Stilt,Himantopus himantopus,0.2577,True
3,Milvus migrans_Black Kite,Milvus migrans,0.7351,True
3,Cyanoptila cyanomelana_Blue-and-white Flycatcher,Cyanoptila cyanomelana,0.036,True
3,Monticola solitarius_Blue Rock Thrush,Monticola solitarius,0.5141,True
3,Fringilla montifringilla_Brambling,Fringilla montifringilla,0.4613,True
3,Calidris falcinellus_Broad-billed Sandpiper,Calidris falcinellus,0.0505,True
3,Hypsipetes amaurotis_Brown-eared Bulbul,Hypsipetes amaurotis,0.9997,True
3,Turdus chrysolaus_Brown-headed Thrush,Turdus chrysolaus,0.2783,True
3,Sula leucogaster_Brown Booby,Sula leucogaster,0.3785,True
3,Lanius bucephalus_Bull-headed Shrike,Lanius bucephalus,0.7369,True
3,Corvus corone_Carrion Crow,Corvus corone,0.7684,True
3,Emberiza fucata_Chestnut-eared Bunting,Emberiza fucata,0.4534,True
3,Remiz consobrinus_Chinese Penduline-Tit,Remiz consobrinus,0.4567,True
